TOKEN,POS
﻿Dantès,NC
resta,V
confondu,VPP
:,PONCT
c',CLS
était,V
",",PONCT
en_effet,ADV
,
",",PONCT
l',DET
explication,NC
de,P
ce,PRO
qui,PROREL
s',CLR
était,V
passé,VPP
à,P
son,DET
insu,NC
dans,P
son,DET
esprit,NC
ou,CC
plutôt,ADV
dans,P
son,DET
âme,NC
",",PONCT
car,CC
il_y_a,P
,
,
des,DET
pensées,NC
qui,PROREL
viennent,V
de,P
la,DET
tête,NC
",",PONCT
et,CC
d',DET
autres,PRO
qui,PROREL
viennent,V
du,P+D
coeur,NC
.,PONCT
Et_puis,CC
,
",",PONCT
continua,P
Faria,NPP
",",PONCT
depuis,P
tantôt,ADV
douze,DET
ans,NC
que,CS
je,CLS
suis,V
en,P
prison,NC
",",PONCT
j',CLS
ai,V
repassé,VPP
dans,P
mon,DET
esprit,NC
toutes,ADJ
les,DET
évasions,NC
célèbres,ADJ
.,PONCT
Je,CLS
n',ADV
ai,V
vu,VPP
réussir,VINF
que,CS
rarement,ADV
les,DET
évasions,NC
.,PONCT
Les,DET
évasions,NC
heureuses,ADJ
",",PONCT
les,DET
évasions,NC
couronnées,ADJ
d',P
un,DET
plein,ADJ
succès,NC
",",PONCT
sont,V
les,DET
évasions,NC
méditées,VPP
avec,P
soin,NC
et,CC
lentement,ADV
préparées,VPP
;,PONCT
c',CLS
est,V
ainsi,ADV
que,CS
le,DET
duc,NC
de,P
Beaufort,NPP
s',CLR
est,V
échappé,VPP
du,P+D
château,NC
de,P
Vincennes,NPP
;,PONCT
l',DET
abbé,NC
Dubuquoi,NPP
du,P+D
Fort-l'_Évêque,NPP
",",PONCT
et,CC
Latude,NC
de,P
la,DET
Bastille,NPP
.,PONCT
Il_y_a,P
,
,
encore,ADV
celles,PRO
que,CS
le,DET
hasard,NC
peut,V
offrir,VINF
:,PONCT
celles-là,PRO
,
sont,V
les,DET
meilleures,ADJ
;,PONCT
attendons,NC
une,DET
occasion,NC
",",PONCT
croyez-moi,NC
,
",",PONCT
et,CC
si,CS
cette,DET
occasion,NC
se,CLR
présente,V
",",PONCT
profitons-en,NC
,
.,PONCT
-,PONCT
-Vous,CLS
avez,V
pu,VPP
attendre,VINF
",",PONCT
vous,PRO
",",PONCT
dit,V
Dantès,NPP
en,P
soupirant,VPR
;,PONCT
ce,DET
long,ADJ
travail,NC
vous,CLS
faisait,V
une,DET
occupation,NC
de,P
tous,ADJ
les,DET
instants,NC
",",PONCT
et,CC
quand,CS
vous,CLS
n',ADV
aviez,V
pas,ADV
votre,DET
travail,NC
pour,P
vous,CLO
distraire,VINF
",",PONCT
vous,CLS
aviez,V
vos,DET
espérances,NC
pour,P
vous,CLO
consoler,VINF
.,PONCT
-,PONCT
-Puis,NC
",",PONCT
dit,V
l',DET
abbé,NC
",",PONCT
je,CLS
ne,ADV
m',CLO
occupais,V
point_qu',CS
,
à,P
cela,PRO
.,PONCT
-,PONCT
-Que,CLS
faisiez,V
-vous,CLS
donc,ADV
?,PONCT
-J',DET
écrivais,NC
ou,CC
j',CLS
étudiais,V
.,PONCT
-,PONCT
-On,CLS
vous,CLO
donne,V
donc,ADV
du,DET
papier,NC
",",PONCT
des,DET
plumes,NC
",",PONCT
de,P
l',DET
encre,NC
?,PONCT
-Non,NC
",",PONCT
dit,V
l',DET
abbé,NC
",",PONCT
mais,CC
je,CLS
m',V
en,P
fais,NC
.,PONCT
-,PONCT
-Vous,CLS
vous_faites_du,P
,
,
papier,NC
",",PONCT
des,DET
plumes,NC
et,CC
de,P
l',DET
encre,NC
?,PONCT
s',CLR
écria,V
Dantès,NPP
.,PONCT
-,PONCT
-Oui,NC
.,PONCT
»,DET
Dantès,NPP
regarda,V
cet,DET
homme,NC
avec,P
admiration,NC
;,PONCT
seulement,ADV
",",PONCT
il,CLS
avait,V
encore,ADV
peine,VPP
à,P
croire,VINF
ce,PRO
qu',PROREL
il,CLS
disait,V
.,PONCT
Faria,NPP
s',CLR
aperçut,V
de,P
ce,DET
léger,ADJ
doute,NC
.,PONCT
Quand,CS
vous,CLS
viendrez,V
chez,P
moi,PRO
",",PONCT
lui,CLO
dit,V
-il,CLS
",",PONCT
je,CLS
vous,CLO
montrerai,V
un,DET
ouvrage,NC
entier,ADJ
",",PONCT
résultat,NC
des,P+D
pensées,NC
",",PONCT
des,DET
recherches,NC
et,CC
des,P+D
réflexions,NC
de,P
toute,ADJ
ma,DET
vie,NC
",",PONCT
que,PROREL
j',CLS
avais,V
médité,VPP
à_l'_ombre_du,P
,
,
,
Colisée,NC
à,P
Rome,NPP
",",PONCT
au_pied_de,P
,
,
la,DET
colonne,NC
Saint-Marc,NPP
à,P
Venise,NPP
",",PONCT
sur,P
les,DET
bords,NC
de,P
l',DET
Arno,NPP
à,P
Florence,NPP
",",PONCT
et,CC
que,CS
je,CLS
ne,ADV
me,CLO
doutais,V
guère,ADV
qu',CS
un,DET
jour,NC
mes,ADJ
geôliers,ADJ
me,NC
laisseraient,V
le,DET
loisir,NC
d',P
exécuter,VINF
entre,P
les,DET
quatre,ADJ
murs,NC
du,P+D
château,NC
d',P
If,NPP
.,PONCT
C',CLS
est,V
un,DET
_Traité,NC
sur,P
la,DET
possibilité,NC
d',P
une,DET
monarchie,NC
générale,ADJ
en,P
Italie_,NPP
.,PONCT
Ce,CLS
fera,V
un,DET
grand,ADJ
volume,NC
in-quarto,ADJ
.,PONCT
-,PONCT
-Et,CLS
vous,CLS
l',CLO
avez,V
écrit,VPP
?,"PONCT
-"
-Sur,P
deux,DET
chemises,NC
.,PONCT
J',CLS
ai,V
inventé,VPP
une,DET
préparation,NC
qui,PROREL
rend,V
le,DET
linge,NC
lisse,ADJ
et,CC
uni,VPP
comme,P
le,DET
parchemin,NC
.,PONCT
-,PONCT
-Vous,CLS
êtes,V
donc,ADV
chimiste,ADJ
.,PONCT
-,PONCT
-Un_peu,ADV
,
.,PONCT
J',CLS
ai,V
connu,VPP
Lavoisier,NPP
et,CC
je,CLS
suis,V
lié,VPP
avec,P
Cabanis,NC
.,PONCT
-,PONCT
-Mais,NC
",",PONCT
pour,P
un,DET
pareil,ADJ
ouvrage,NC
",",PONCT
il,CLS
vous,CLO
a,V
fallu,VPP
faire,VINF
des,DET
recherches,NC
historiques,ADJ
.,PONCT
Vous,CLS
aviez,V
donc,ADV
des,DET
livres,NC
?,PONCT
-À,P
Rome,NPP
",",PONCT
j',CLS
avais,V
à_peu_près,ADV
,
,
cinq_mille,DET
,
volumes,NC
dans,P
ma,DET
bibliothèque,NC
.,PONCT
À,P
force,NC
de,P
les,DET
lire,NC
et,CC
de,P
les,DET
relire,NC
",",PONCT
j',CLS
ai,V
découvert,VPP
qu',CS
avec,P
cent_cinquante,DET
,
ouvrages,NC
bien_choisis,CS
,
on,CLS
a,V
",",PONCT
sinon,CC
le,DET
résumé,NC
complet,ADJ
des,P+D
connaissances,NC
humaines,ADJ
",",PONCT
du_moins,ADV
,
tout,PRO
ce,PRO
qu',PROREL
il,CLS
est,V
utile,ADJ
à,P
un,DET
homme,NC
de,P
savoir,VINF
.,PONCT
J',CLS
ai,V
consacré,VPP
trois,DET
années,NC
de,P
ma,DET
vie,NC
à,P
lire,VINF
et,CC
à,P
relire,VINF
ces_cent_cinquante,DET
,
,
volumes,NC
",",PONCT
de,P
sorte,NC
que,CS
je,CLS
les,CLO
savais,V
à_peu_près_par_coeur,ADV
,
,
,
,
lorsque,CS
j',CLS
ai,V
été,VPP
arrêté,VPP
.,PONCT
Dans,P
ma,DET
prison,NC
",",PONCT
avec,P
un,DET
léger,ADJ
effort,NC
de,P
mémoire,NC
",",PONCT
je,CLS
me,V
les,DET
suis,NC
rappelés,VPP
tout_à_fait,ADV
,
,
.,PONCT
Ainsi,ADV
pourrais,V
-je,CLS
vous,CLO
réciter,VINF
Thucydide,NPP
",",PONCT
Xénophon,NPP
",",PONCT
Plutarque,NPP
",",PONCT
Tite-Live,NPP
",",PONCT
Tacite,NPP
",",PONCT
Strada,NPP
",",PONCT
Jornandès,NPP
",",PONCT
Dante,NPP
",",PONCT
Montaigne,NPP
",",PONCT
Shakespeare,NPP
",",PONCT
Spinosa,NPP
",",PONCT
Machiavel,NPP
et,CC
Bossuet,NPP
.,PONCT
Je,CLS
ne,ADV
vous,CLO
cite,V
que,CS
les,DET
plus,ADV
importants,ADJ
.,PONCT
-,PONCT
-Mais,PROREL
vous,CLS
savez,V
donc,ADV
plusieurs,DET
langues,NC
?,PONCT
-Je,CLS
parle,V
cinq,DET
langues,NC
vivantes,ADJ
",",PONCT
l',DET
allemand,NC
",",PONCT
le,DET
français,NC
",",PONCT
l',DET
italien,NC
",",PONCT
l',DET
anglais,NC
et,CC
l',DET
espagnol,NC
;,PONCT
à,P
l',DET
aide,NC
du,P+D
grec,NC
ancien,ADJ
je,CLS
comprends,V
le,DET
grec,NC
moderne,ADJ
;,PONCT
seulement,ADV
je,CLS
le,CLO
parle,V
mal,ADV
",",PONCT
mais,CC
je,CLS
l',CLO
étudie,V
en_ce_moment,ADV
,
,
.,PONCT
-,PONCT
-Vous,CLS
l',DET
étudiez,NC
?,PONCT
,
Dantès,NPP
.,PONCT
-,PONCT
-Oui,NC
",",PONCT
je,CLS
me,CLR
suis,V
fait,VPP
un,DET
vocabulaire,NC
des,P+D
mots,NC
que,PROREL
je,CLS
sais,V
",",PONCT
je,CLS
les,CLO
ai,V
arrangés,VPP
",",PONCT
combinés,NC
",",PONCT
tournés,NC
et,CC
retournés,NC
",",PONCT
de,P
façon,NC
qu',CS
ils,CLS
puissent,VS
me,CLO
suffire,VINF
pour,P
exprimer,VINF
ma,DET
pensée,NC
.,PONCT
Je,CLS
sais,V
à_peu_près,ADV
,
,
mille,DET
mots,NC
",",PONCT
c',CLS
est,V
tout,ADV
ce,PRO
qu',PROREL
il,CLS
me,CLO
faut,V
à,P
la,DET
rigueur,NC
",",PONCT
quoiqu',CS
il,CLS
y,CLO
en,CLO
ait_cent_mille,ADJ
,
,
",",PONCT
je,CLS
crois,V
",",PONCT
dans,P
les,DET
dictionnaires,NC
.,PONCT
Seulement,ADV
",",PONCT
je,CLS
ne,ADV
serai,V
pas,ADV
éloquent,ADJ
",",PONCT
mais,CC
je,CLS
me,CLO
ferai,V
comprendre,VINF
à,P
merveille,NC
et,CC
cela,PRO
me,CLO
suffit,V
.,PONCT
»,PONCT
De_plus_en_plus,NC
,
,
,
émerveillé,VPP
",",PONCT
Edmond,NPP
commençait,V
à,P
trouver,VINF
presque,ADV
surnaturelles,ADJ
les,DET
facultés,NC
de,P
cet,DET
homme,NC
étrange,V
;,PONCT
il,CLS
voulut,V
le,CLO
trouver,VINF
en_défaut,ADV
,
sur,P
un,DET
point,NC
quelconque,ADJ
",",PONCT
il,CLS
continua,V
:,PONCT
Mais,CC
si,CS
l',CLO
on,CLS
ne,ADV
vous,CLO
a,V
pas,ADV
donné,VPP
de,P
plumes,NC
",",PONCT
dit,V
-il,CLS
avec,P
quoi,PROWH
avez,V
-vous,CLS
pu,VPP
écrire,VINF
ce,DET
traité,NC
si,ADV
volumineux,ADJ
?,PONCT
-Je,CLS
m',V
en_suis,ADV
,
fait,VPP
d',P
excellentes,NC
",",PONCT
et,CC
que,CS
l',DET
on,NC
préférerait,V
aux,P+D
plumes,NC
ordinaires,ADJ
si,CS
la,DET
matière,NC
était,V
connue,VPP
",",PONCT
avec,P
les,DET
cartilages,NC
des,P+D
têtes,NC
de,P
ces,DET
énormes,ADJ
merlans,NC
que,CS
l',DET
on,NC
nous,CLS
sert,V
quelquefois,ADV
pendant,P
les,DET
jours,NC
maigres,ADJ
.,PONCT
Aussi,ADV
vois,V
-je,CLS
toujours,ADV
arriver,VINF
les,DET
mercredis,NC
",",PONCT
les,DET
vendredis,NC
et,CC
les,DET
samedis,NC
avec,P
grand,ADJ
plaisir,NC
",",PONCT
car,CC
ils,CLS
me,CLO
donnent,V
l',DET
espérance,NC
d',P
augmenter,VINF
ma,DET
provision,NC
de,P
plumes,NC
",",PONCT
et,CC
mes,DET
travaux,NC
historiques,ADJ
sont,V
",",PONCT
je,CLS
l',CLO
avoue,V
",",PONCT
ma,DET
plus,ADV
douce,ADJ
occupation,NC
.,PONCT
En,P
descendant,VPR
dans_le_passé,ADV
,
,
",",PONCT
j',CLS
oublie,V
le,DET
présent,NC
;,PONCT
en,P
marchant,VPR
libre,ADJ
et,CC
indépendant,ADJ
dans,P
l',DET
histoire,NC
",",PONCT
je,CLS
ne,ADV
me,CLO
souviens,V
plus,ADV
que,CS
je,CLS
suis,V
prisonnier,ADJ
.,PONCT
-,PONCT
-Mais,NC
de,P
l',DET
encre,NC
?,"PONCT
dit"
dit,V
Dantès,NPP
",",PONCT
avec,P
quoi,PROREL
vous,CLS
êtes,V
-vous,CLS
fait,V
de,P
l',DET
encre,NC
?,PONCT
-Il,CLS
y,CLO
avait,V
autrefois,ADV
une,DET
cheminée,NC
dans,P
mon,DET
cachot,NC
",",PONCT
dit,V
Faria,NPP
;,PONCT
cette,DET
cheminée,NC
a,V
été,VPP
bouchée,VPP
quelque_temps,ADV
,
avant,P
mon,DET
arrivée,NC
",",PONCT
sans_doute,ADV
,
",",PONCT
mais,CC
pendant,P
de,DET
longues,ADJ
années,NC
on,CLS
y,CLO
avait,V
fait,VPP
du,P+D
feu,NC
:,PONCT
tout_l'_intérieur,ADV
,
,
en,CLO
est,V
donc,ADV
tapissé,VPP
de,P
suie,NC
.,PONCT
Je,CLS
fais,V
dissoudre,VINF
cette,DET
suie,NC
dans,P
une,DET
portion,NC
du,P+D
vin,NC
qu',CS
on,CLS
me,CLO
donne,V
tous,ADJ
les,DET
dimanches,NC
",",PONCT
cela,PRO
me,CLO
fournit,V
de,P
l',DET
encre,NC
excellente,ADJ
.,PONCT
Pour,P
les,DET
notes,NC
particulières,ADJ
",",PONCT
et,CC
qui,PROREL
ont,V
besoin,NC
d',P
attirer,VINF
les,DET
yeux,NC
",",PONCT
je,CLS
me,CLO
pique,V
les,DET
doigts,NC
et,CC
j',CLS
écris,V
avec,P
mon,DET
sang,NC
.,PONCT
-,PONCT
-Et_quand_pourrai,ADV
,
,
-je,CLO
voir,VINF
tout,ADV
cela,PRO
?,PONCT
demanda,V
Dantès,NPP
.,PONCT
-,PONCT
-Quand,CLS
vous,CLO
voudrez,V
",",PONCT
répondit,V
Faria,NPP
.,PONCT
-,PONCT
-Oh,NC
!,PONCT
tout_de_suite,ADV
,
,
!,PONCT
s',CLR
écria,V
le,DET
jeune,ADJ
homme,NC
.,PONCT
-,PONCT
-Suivez-moi,CLS
,
donc,ADV
»,ADJ
",",PONCT
dit,V
l',DET
abbé,NC
.,"PONCT
Et"
et,CC
il,CLS
rentra,V
dans,P
le,DET
corridor,NC
souterrain,ADJ
où,PROREL
il,CLS
disparut,V
.,PONCT
Dantès,NPP
le,DET
suivit,NC
.,PONCT
