TOKEN,POS,LEMMA
﻿Dantès,PUNCT,﻿dantès
resta,PRON,rester
confondu,VERB,confondre
:,PUNCT,:
c',PRON,ce
était,AUX,être
",",PUNCT,","
en,ADP,en
effet,NOUN,effet
",",PUNCT,","
l',DET,le
explication,NOUN,explication
de,ADP,de
ce,PRON,ce
qui,PRON,qui
s',PRON,se
était,AUX,être
passé,VERB,passer
à,ADP,à
son,DET,son
insu,NOUN,insu
dans,ADP,dans
son,DET,son
esprit,NOUN,esprit
ou,CCONJ,ou
plutôt,ADV,plutôt
dans,ADP,dans
son,DET,son
âme,NOUN,âme
",",PUNCT,","
car,CCONJ,car
il,PRON,il
y,PRON,y
a,VERB,avoir
des,DET,un
pensées,NOUN,pensée
qui,PRON,qui
viennent,VERB,venir
de,ADP,de
la,DET,le
tête,NOUN,tête
",",PUNCT,","
et,CCONJ,et
d',DET,de
autres,ADJ,autre
qui,PRON,qui
viennent,VERB,venir
du,ADP,de
coeur,NOUN,coeur
.,PUNCT,.
 ,SPACE, 
«,NOUN,«
Et,CCONJ,et
puis,CCONJ,pouvoir
",",PUNCT,","
continua,NOUN,continua
Faria,ADJ,faria
",",PUNCT,","
depuis,ADP,depuis
tantôt,CCONJ,tantôt
douze,VERB,douze
ans,ADJ,an
que,SCONJ,que
je,PRON,je
suis,AUX,être
en,ADP,en
prison,NOUN,prison
",",PUNCT,","
j',PRON,je
ai,AUX,avoir
repassé,VERB,repasser
dans,ADP,dans
mon,DET,mon
esprit,NOUN,esprit
toutes,ADJ,tout
les,DET,le
évasions,NOUN,évasion
célèbres,ADJ,célèbre
.,PUNCT,.
Je,PRON,je
n',ADV,ne
ai,AUX,avoir
vu,VERB,voir
réussir,VERB,réussir
que,SCONJ,que
rarement,ADV,rarement
les,DET,le
évasions,NOUN,évasion
.,PUNCT,.
Les,DET,le
évasions,NOUN,évasion
heureuses,ADJ,heureux
",",PUNCT,","
les,DET,le
évasions,NOUN,évasion
couronnées,VERB,couronner
d',ADP,de
un,DET,un
plein,ADJ,plein
succès,NOUN,succès
",",PUNCT,","
sont,AUX,être
les,DET,le
évasions,NOUN,évasion
méditées,VERB,méditer
avec,ADP,avec
soin,NOUN,soin
et,CCONJ,et
lentement,ADV,lentement
préparées,VERB,préparer
;,PUNCT,;
c',PRON,ce
est,AUX,être
ainsi,ADV,ainsi
que,SCONJ,que
le,DET,le
duc,NOUN,duc
de,ADP,de
Beaufort,PROPN,Beaufort
s',PRON,se
est,AUX,être
échappé,VERB,échapper
du,ADP,de
château,NOUN,château
de,ADP,de
Vincennes,NOUN,vincenne
;,PUNCT,;
l',DET,le
abbé,NOUN,abbé
Dubuquoi,ADV,dubuquoi
du,ADP,de
Fort-l'Évêque,NOUN,fort-l'évêque
",",PUNCT,","
et,CCONJ,et
Latude,PROPN,Latude
de,ADP,de
la,DET,le
Bastille,PROPN,Bastille
.,PUNCT,.
Il,PRON,il
y,PRON,y
a,VERB,avoir
encore,ADV,encore
celles,ADJ,celle
que,SCONJ,que
le,DET,le
hasard,NOUN,hasard
peut,VERB,pouvoir
offrir,VERB,offrir
:,PUNCT,:
celles,PRON,celui
-là,PRON,-là
sont,AUX,être
les,DET,le
meilleures,NOUN,meilleur
;,PUNCT,;
attendons,NOUN,attendon
une,DET,un
occasion,NOUN,occasion
",",PUNCT,","
croyez,NOUN,croyez
-moi,PRON,moi
",",PUNCT,","
et,CCONJ,et
si,SCONJ,si
cette,DET,ce
occasion,NOUN,occasion
se,PRON,se
présente,VERB,présente
",",PUNCT,","
profitons,NOUN,profiton
-en,PRON,-en
.,PUNCT,.
 ,SPACE, 
--Vous,PRON,--vous
avez,AUX,avoir
pu,VERB,pouvoir
attendre,VERB,attendre
",",PUNCT,","
vous,PRON,vous
",",PUNCT,","
dit,VERB,dire
Dantès,PROPN,Dantès
en,ADP,en
soupirant,NOUN,soupirant
;,PUNCT,;
ce,DET,ce
long,ADJ,long
travail,NOUN,travail
vous,PRON,vous
faisait,VERB,faire
une,DET,un
occupation,NOUN,occupation
de,ADP,de
tous,ADJ,tout
les,DET,le
instants,NOUN,instant
",",PUNCT,","
et,CCONJ,et
quand,SCONJ,quand
vous,PRON,vous
n',ADV,ne
aviez,VERB,avoir
pas,ADV,pas
votre,DET,votre
travail,NOUN,travail
pour,ADP,pour
vous,PRON,vous
distraire,ADJ,distrair
",",PUNCT,","
vous,PRON,vous
aviez,VERB,avoir
vos,DET,votre
espérances,NOUN,espérance
pour,ADP,pour
vous,PRON,vous
consoler,VERB,consoler
.,PUNCT,.
 ,SPACE, 
--Puis,PRON,--puis
",",PUNCT,","
dit,VERB,dire
l',DET,le
abbé,NOUN,abbé
",",PUNCT,","
je,PRON,je
ne,ADV,ne
m',PRON,me
occupais,VERB,occuper
point,VERB,poindre
qu',SCONJ,que
à,ADP,à
cela,PRON,celer
.,PUNCT,.
 ,SPACE, 
--Que,PRON,--que
faisiez,ADV,faire
-vous,PRON,vous
donc,ADV,donc
?,PUNCT,?
 ,SPACE, 
--J',NUM,--J'
écrivais,NOUN,écrivai
ou,CCONJ,ou
j',PRON,je
étudiais,PROPN,étudier
.,PUNCT,.
 ,SPACE, 
--On,DET,--on
vous,PRON,vous
donne,VERB,donne
donc,ADV,donc
du,ADP,de
papier,NOUN,papier
",",PUNCT,","
des,DET,un
plumes,NOUN,plume
",",PUNCT,","
de,ADP,de
l',DET,le
encre,NOUN,encre
?,PUNCT,?
 ,SPACE, 
--Non,PRON,--non
",",PUNCT,","
dit,VERB,dire
l',DET,le
abbé,NOUN,abbé
",",PUNCT,","
mais,CCONJ,mais
je,PRON,je
m',PRON,me
en,VERB,en
fais,NOUN,fai
.,PUNCT,.
 ,SPACE, 
--Vous,PRON,--vous
vous,PRON,vous
faites,VERB,faire
du,ADP,de
papier,NOUN,papier
",",PUNCT,","
des,DET,un
plumes,NOUN,plume
et,CCONJ,et
de,ADP,de
l',DET,le
encre,NOUN,encre
?,PUNCT,?
s',PRON,se
écria,NOUN,écria
Dantès,PROPN,Dantès
.,PUNCT,.
 ,SPACE, 
--Oui,ADV,--oui
.,PUNCT,.
»,PUNCT,»
Dantès,NOUN,dantè
regarda,VERB,regarder
cet,DET,ce
homme,NOUN,homme
avec,ADP,avec
admiration,NOUN,admiration
;,PUNCT,;
seulement,ADV,seulement
",",PUNCT,","
il,PRON,il
avait,VERB,avoir
encore,ADV,encore
peine,NOUN,peine
à,ADP,à
croire,VERB,croire
ce,PRON,ce
qu',PRON,que
il,PRON,il
disait,VERB,dire
.,PUNCT,.
Faria,NOUN,faria
s',PRON,se
aperçut,VERB,apercevoir
de,ADP,de
ce,DET,ce
léger,ADJ,léger
doute,NOUN,doute
.,PUNCT,.
 ,SPACE, 
«,PROPN,«
Quand,SCONJ,quand
vous,PRON,vous
viendrez,VERB,venir
chez,ADP,chez
moi,PRON,moi
",",PUNCT,","
lui,PRON,luire
dit,VERB,dire
-il,PRON,il
",",PUNCT,","
je,PRON,je
vous,PRON,vous
montrerai,VERB,montrer
un,DET,un
ouvrage,NOUN,ouvrage
entier,ADJ,entier
",",PUNCT,","
résultat,NOUN,résultat
des,ADP,de
pensées,NOUN,pensée
",",PUNCT,","
des,DET,un
recherches,NOUN,recherche
et,CCONJ,et
des,DET,un
réflexions,NOUN,réflexion
de,ADP,de
toute,ADJ,tout
ma,DET,mon
vie,NOUN,vie
",",PUNCT,","
que,PRON,que
j',PRON,je
avais,VERB,avoir
médité,VERB,méditer
à,ADP,à
l',DET,le
ombre,NOUN,ombre
du,ADP,de
Colisée,PROPN,Colisée
à,ADP,à
Rome,PROPN,Rome
",",PUNCT,","
au,ADP,au
pied,NOUN,pied
de,ADP,de
la,DET,le
colonne,NOUN,colonne
Saint-Marc,PROPN,Saint-Marc
à,ADP,à
Venise,PROPN,Venise
",",PUNCT,","
sur,ADP,sur
les,DET,le
bords,NOUN,bord
de,ADP,de
l',DET,le
Arno,PROPN,Arno
à,ADP,à
Florence,PROPN,Florence
",",PUNCT,","
et,CCONJ,et
que,SCONJ,que
je,PRON,je
ne,ADV,ne
me,PRON,me
doutais,VERB,douter
guère,ADV,guère
qu',SCONJ,que
un,DET,un
jour,NOUN,jour
mes,DET,mon
geôliers,NOUN,geôlier
me,PRON,me
laisseraient,VERB,laisser
le,DET,le
loisir,NOUN,loisir
d',ADP,de
exécuter,VERB,exécuter
entre,ADP,entrer
les,DET,le
quatre,NUM,quatre
murs,NOUN,mur
du,ADP,de
château,NOUN,château
d',ADP,de
If,PROPN,If
.,PUNCT,.
C',PRON,ce
est,AUX,être
un,DET,un
_,NOUN,_
Traité,NOUN,traité
sur,ADP,sur
la,DET,le
possibilité,NOUN,possibilité
d',ADP,de
une,DET,un
monarchie,NOUN,monarchie
générale,ADJ,général
en,ADP,en
Italie_.,PROPN,Italie_.
Ce,PRON,ce
fera,VERB,faire
un,DET,un
grand,ADJ,grand
volume,NOUN,volume
in,PROPN,in
-,PROPN,-
quarto,PROPN,quarto
.,PUNCT,.
 ,SPACE, 
--Et,NOUN,--et
vous,PRON,vous
l',PRON,le
avez,AUX,avoir
écrit,VERB,écrire
?,PUNCT,?
 ,SPACE, 
--Sur,NOUN,--sur
deux,NUM,deux
chemises,NOUN,chemise
.,PUNCT,.
J',PRON,je
ai,AUX,avoir
inventé,VERB,inventer
une,DET,un
préparation,NOUN,préparation
qui,PRON,qui
rend,VERB,rendre
le,DET,le
linge,NOUN,linge
lisse,ADJ,lisse
et,CCONJ,et
uni,PROPN,uni
comme,ADP,comme
le,DET,le
parchemin,NOUN,parchemin
.,PUNCT,.
 ,SPACE, 
--Vous,PRON,--vous
êtes,AUX,être
donc,ADV,donc
chimiste,ADJ,chimist
.,PUNCT,.
 ,SPACE, 
--Un,ADV,--un
peu,ADV,peu
.,PUNCT,.
J',PRON,je
ai,AUX,avoir
connu,VERB,connaître
Lavoisier,PROPN,Lavoisier
et,CCONJ,et
je,PRON,je
suis,AUX,être
lié,VERB,lier
avec,ADP,avec
Cabanis,PROPN,Cabanis
.,PUNCT,.
 ,SPACE, 
--Mais,NUM,--Mais
",",PUNCT,","
pour,ADP,pour
un,DET,un
pareil,ADJ,pareil
ouvrage,NOUN,ouvrage
",",PUNCT,","
il,PRON,il
vous,PRON,vous
a,AUX,avoir
fallu,VERB,falloir
faire,VERB,faire
des,DET,un
recherches,NOUN,recherche
historiques,ADJ,historique
.,PUNCT,.
Vous,PRON,vous
aviez,VERB,avoir
donc,ADV,donc
des,DET,un
livres,NOUN,livre
?,PUNCT,?
 ,SPACE, 
--À,NOUN,--à
Rome,PROPN,Rome
",",PUNCT,","
j',PRON,je
avais,VERB,avoir
à,ADP,à
peu,ADV,peu
près,ADV,près
cinq,NUM,cinq
mille,DET,mille
volumes,NOUN,volume
dans,ADP,dans
ma,DET,mon
bibliothèque,NOUN,bibliothèque
.,PUNCT,.
À,ADP,à
force,NOUN,force
de,ADP,de
les,PRON,le
lire,VERB,lire
et,CCONJ,et
de,ADP,de
les,PRON,le
relire,VERB,relire
",",PUNCT,","
j',PRON,je
ai,AUX,avoir
découvert,VERB,découvrir
qu',SCONJ,que
avec,ADP,avec
cent,NUM,cent
cinquante,NUM,cinquante
ouvrages,NOUN,ouvrage
bien,ADV,bien
choisis,ADJ,choisir
on,PRON,on
a,AUX,avoir
",",PUNCT,","
sinon,ADV,sinon
le,DET,le
résumé,NOUN,résumé
complet,ADJ,complet
des,ADP,de
connaissances,NOUN,connaissance
humaines,ADJ,humain
",",PUNCT,","
du,ADP,de
moins,ADV,moins
tout,ADJ,tout
ce,PRON,ce
qu',PRON,que
il,PRON,il
est,AUX,être
utile,ADJ,utile
à,ADP,à
un,DET,un
homme,NOUN,homme
de,ADP,de
savoir,VERB,savoir
.,PUNCT,.
J',PRON,je
ai,AUX,avoir
consacré,VERB,consacrer
trois,NUM,trois
années,NOUN,année
de,ADP,de
ma,DET,mon
vie,NOUN,vie
à,ADP,à
lire,VERB,lire
et,CCONJ,et
à,ADP,à
relire,VERB,relire
ces,DET,ce
cent,NUM,cent
cinquante,NUM,cinquante
volumes,NOUN,volume
",",PUNCT,","
de,ADP,de
sorte,NOUN,sorte
que,SCONJ,que
je,PRON,je
les,PRON,le
savais,ADJ,savai
à,ADP,à
peu,ADV,peu
près,ADV,près
par,ADP,par
coeur,NOUN,coeur
lorsque,SCONJ,lorsque
j',PRON,je
ai,AUX,avoir
été,AUX,être
arrêté,VERB,arrêter
.,PUNCT,.
Dans,ADP,dans
ma,DET,mon
prison,NOUN,prison
",",PUNCT,","
avec,ADP,avec
un,DET,un
léger,ADJ,léger
effort,NOUN,effort
de,ADP,de
mémoire,NOUN,mémoire
",",PUNCT,","
je,PRON,je
me,PRON,me
les,PRON,le
suis,AUX,être
rappelés,VERB,rappeler
tout,ADV,tout
à,ADP,à
fait,NOUN,fait
.,PUNCT,.
Ainsi,ADV,ainsi
pourrais,ADV,pouvoir
-je,PRON,je
vous,PRON,vous
réciter,VERB,réciter
Thucydide,PROPN,Thucydide
",",PUNCT,","
Xénophon,NUM,Xénophon
",",PUNCT,","
Plutarque,PROPN,Plutarque
",",PUNCT,","
Tite,PROPN,Tite
-,PROPN,-
Live,PROPN,Live
",",PUNCT,","
Tacite,PROPN,Tacite
",",PUNCT,","
Strada,PROPN,Strada
",",PUNCT,","
Jornandès,PROPN,Jornandès
",",PUNCT,","
Dante,PROPN,Dante
",",PUNCT,","
Montaigne,PROPN,Montaigne
",",PUNCT,","
Shakespeare,PROPN,Shakespeare
",",PUNCT,","
Spinosa,PROPN,Spinosa
",",PUNCT,","
Machiavel,PROPN,Machiavel
et,CCONJ,et
Bossuet,PROPN,Bossuet
.,PUNCT,.
Je,PRON,je
ne,ADV,ne
vous,PRON,vous
cite,VERB,citer
que,SCONJ,que
les,DET,le
plus,ADV,plus
importants,ADJ,important
.,PUNCT,.
 ,SPACE, 
--Mais,NOUN,--mai
vous,PRON,vous
savez,VERB,savoir
donc,ADV,donc
plusieurs,DET,plusieurs
langues,NOUN,langue
?,PUNCT,?
 ,SPACE, 
--Je,NOUN,--je
parle,NOUN,parle
cinq,NUM,cinq
langues,NOUN,langue
vivantes,ADJ,vivant
",",PUNCT,","
l',DET,le
allemand,PROPN,allemand
",",PUNCT,","
le,DET,le
français,NOUN,français
",",PUNCT,","
l',DET,le
italien,NOUN,italien
",",PUNCT,","
l',DET,le
anglais,NOUN,anglais
et,CCONJ,et
l',DET,le
espagnol,NOUN,espagnol
;,PUNCT,;
à,ADP,à
l',DET,le
aide,NOUN,aide
du,ADP,de
grec,PROPN,grec
ancien,ADJ,ancien
je,PRON,je
comprends,VERB,comprendre
le,DET,le
grec,NOUN,grec
moderne,ADJ,moderne
;,PUNCT,;
seulement,ADV,seulement
je,PRON,je
le,DET,le
parle,VERB,parler
mal,NOUN,mal
",",PUNCT,","
mais,CCONJ,mais
je,PRON,je
l',DET,le
étudie,NOUN,étudie
en,ADP,en
ce,DET,ce
moment,NOUN,moment
.,PUNCT,.
 ,SPACE, 
--Vous,PRON,--vous
l',PRON,le
étudiez,NOUN,étudiez
?,PUNCT,?
dit,NOUN,dit
Dantès,PROPN,Dantès
.,PUNCT,.
 ,SPACE, 
--Oui,ADV,--oui
",",PUNCT,","
je,PRON,je
me,PRON,me
suis,AUX,être
fait,VERB,faire
un,DET,un
vocabulaire,NOUN,vocabulaire
des,ADP,de
mots,NOUN,mot
que,PRON,que
je,PRON,je
sais,VERB,savoir
",",PUNCT,","
je,PRON,je
les,PRON,le
ai,ADJ,ai
arrangés,ADJ,arranger
",",PUNCT,","
combinés,NOUN,combiné
",",PUNCT,","
tournés,NOUN,tourné
et,CCONJ,et
retournés,VERB,retourner
",",PUNCT,","
de,ADP,de
façon,NOUN,façon
qu',SCONJ,que
ils,PRON,il
puissent,VERB,pouvoir
me,PRON,me
suffire,VERB,suffire
pour,ADP,pour
exprimer,VERB,exprimer
ma,DET,mon
pensée,NOUN,pensée
.,PUNCT,.
Je,PRON,je
sais,VERB,savoir
à,ADP,à
peu,ADV,peu
près,ADV,près
mille,NUM,mille
mots,NOUN,mot
",",PUNCT,","
c',PRON,ce
est,AUX,être
tout,ADJ,tout
ce,PRON,ce
qu',PRON,que
il,PRON,il
me,PRON,me
faut,VERB,falloir
à,ADP,à
la,DET,le
rigueur,NOUN,rigueur
",",PUNCT,","
quoiqu',SCONJ,quoique
il,PRON,il
y,PRON,y
en,PRON,en
ait,AUX,avoir
cent,NUM,cent
mille,NOUN,mille
",",PUNCT,","
je,PRON,je
crois,VERB,croire
",",PUNCT,","
dans,ADP,dans
les,DET,le
dictionnaires,NOUN,dictionnaire
.,PUNCT,.
Seulement,ADV,seulement
",",PUNCT,","
je,PRON,je
ne,ADV,ne
serai,AUX,être
pas,ADV,pas
éloquent,ADV,éloquent
",",PUNCT,","
mais,CCONJ,mais
je,PRON,je
me,PRON,me
ferai,VERB,faire
comprendre,VERB,comprendre
à,ADP,à
merveille,ADJ,merveill
et,CCONJ,et
cela,PRON,celer
me,PRON,me
suffit,VERB,suffire
.,PUNCT,.
»,PUNCT,»
 ,SPACE, 
De,ADP,de
plus,ADV,plus
en,ADP,en
plus,ADV,plus
émerveillé,VERB,émerveiller
",",PUNCT,","
Edmond,PROPN,Edmond
commençait,VERB,commencer
à,ADP,à
trouver,VERB,trouver
presque,ADV,presque
surnaturelles,ADJ,surnaturel
les,DET,le
facultés,NOUN,faculté
de,ADP,de
cet,DET,ce
homme,NOUN,homme
étrange,NOUN,étrange
;,PUNCT,;
il,PRON,il
voulut,VERB,vouloir
le,DET,le
trouver,VERB,trouver
en,ADP,en
défaut,NOUN,défaut
sur,ADP,sur
un,DET,un
point,NOUN,point
quelconque,ADJ,quelconque
",",PUNCT,","
il,PRON,il
continua,VERB,continuer
:,PUNCT,:
 ,SPACE, 
«,NOUN,«
Mais,CCONJ,mais
si,SCONJ,si
l',PRON,le
on,PRON,on
ne,ADV,ne
vous,PRON,vous
a,AUX,avoir
pas,ADV,pas
donné,VERB,donner
de,DET,de
plumes,NOUN,plume
",",PUNCT,","
dit,VERB,dire
-il,PRON,il
avec,ADP,avec
quoi,PRON,quoi
avez,AUX,avoir
-vous,PRON,vous
pu,VERB,pouvoir
écrire,ADJ,écrir
ce,DET,ce
traité,NOUN,traité
si,SCONJ,si
volumineux,NOUN,volumineu
?,PUNCT,?
 ,SPACE, 
--Je,NOUN,--je
m',PRON,me
en,PRON,en
suis,AUX,être
fait,VERB,faire
d',ADP,de
excellentes,NOUN,excellente
",",PUNCT,","
et,CCONJ,et
que,SCONJ,que
l',PRON,le
on,PRON,on
préférerait,VERB,préférer
aux,ADP,à
plumes,NOUN,plume
ordinaires,ADJ,ordinaire
si,SCONJ,si
la,DET,le
matière,NOUN,matière
était,AUX,être
connue,VERB,connaître
",",PUNCT,","
avec,ADP,avec
les,DET,le
cartilages,NOUN,cartilage
des,ADP,de
têtes,NOUN,tête
de,ADP,de
ces,DET,ce
énormes,NOUN,énorme
merlans,ADJ,merlan
que,SCONJ,que
l',PRON,le
on,PRON,on
nous,PRON,nous
sert,VERB,servir
quelquefois,ADV,quelquefois
pendant,ADP,pendant
les,DET,le
jours,NOUN,jour
maigres,ADJ,maigre
.,PUNCT,.
Aussi,ADV,aussi
vois,ADJ,voi
-je,PRON,je
toujours,ADV,toujours
arriver,VERB,arriver
les,DET,le
mercredis,NOUN,mercredi
",",PUNCT,","
les,DET,le
vendredis,NOUN,vendredi
et,CCONJ,et
les,DET,le
samedis,NOUN,samedi
avec,ADP,avec
grand,ADJ,grand
plaisir,NOUN,plaisir
",",PUNCT,","
car,CCONJ,car
ils,PRON,il
me,PRON,me
donnent,VERB,donner
l',DET,le
espérance,NOUN,espérance
d',ADP,de
augmenter,VERB,augmenter
ma,DET,mon
provision,NOUN,provision
de,ADP,de
plumes,NOUN,plume
",",PUNCT,","
et,CCONJ,et
mes,DET,mon
travaux,NOUN,travail
historiques,ADJ,historique
sont,AUX,être
",",PUNCT,","
je,PRON,je
l',PRON,le
avoue,NOUN,avoue
",",PUNCT,","
ma,DET,mon
plus,ADV,plus
douce,VERB,doux
occupation,NOUN,occupation
.,PUNCT,.
En,ADP,en
descendant,NOUN,descendant
dans,ADP,dans
le,DET,le
passé,NOUN,passé
",",PUNCT,","
j',PRON,je
oublie,VERB,oublier
le,DET,le
présent,NOUN,présent
;,PUNCT,;
en,ADP,en
marchant,ADJ,marchant
libre,ADJ,libre
et,CCONJ,et
indépendant,VERB,indépender
dans,ADP,dans
l',DET,le
histoire,NOUN,histoire
",",PUNCT,","
je,PRON,je
ne,ADV,ne
me,PRON,me
souviens,VERB,souvenir
plus,ADV,plus
que,SCONJ,que
je,PRON,je
suis,AUX,être
prisonnier,ADJ,prisonnier
.,PUNCT,.
 ,SPACE, 
--Mais,NUM,--Mais
de,ADP,de
l',DET,le
encre,NOUN,encre
?,PUNCT,?
dit,VERB,dire
Dantès,PROPN,Dantès
",",PUNCT,","
avec,ADP,avec
quoi,PRON,quoi
vous,PRON,vous
êtes,AUX,être
-vous,PRON,vous
fait,VERB,faire
de,ADP,de
l',DET,le
encre,NOUN,encre
?,PUNCT,?
 ,SPACE, 
--Il,NOUN,--il
y,PRON,y
avait,VERB,avoir
autrefois,VERB,autrefois
une,DET,un
cheminée,NOUN,cheminée
dans,ADP,dans
mon,DET,mon
cachot,NOUN,cachot
",",PUNCT,","
dit,VERB,dire
Faria,PROPN,Faria
;,PUNCT,;
cette,DET,ce
cheminée,NOUN,cheminée
a,AUX,avoir
été,AUX,être
bouchée,VERB,boucher
quelque,DET,quelque
temps,NOUN,temps
avant,ADP,avant
mon,DET,mon
arrivée,NOUN,arrivée
",",PUNCT,","
sans,ADP,sans
doute,NOUN,doute
",",PUNCT,","
mais,CCONJ,mais
pendant,ADP,pendant
de,DET,de
longues,ADJ,long
années,NOUN,année
on,PRON,on
y,PRON,y
avait,VERB,avoir
fait,VERB,faire
du,ADP,de
feu,NOUN,feu
:,PUNCT,:
tout,ADJ,tout
l',DET,le
intérieur,NOUN,intérieur
en,PRON,en
est,AUX,être
donc,ADV,donc
tapissé,VERB,tapisser
de,ADP,de
suie,NOUN,suie
.,PUNCT,.
Je,PRON,je
fais,VERB,faire
dissoudre,VERB,dissoudre
cette,DET,ce
suie,NOUN,suie
dans,ADP,dans
une,DET,un
portion,NOUN,portion
du,ADP,de
vin,NOUN,vin
qu',SCONJ,que
on,PRON,on
me,PRON,me
donne,VERB,donne
tous,ADJ,tout
les,DET,le
dimanches,NOUN,dimanche
",",PUNCT,","
cela,PRON,celer
me,PRON,me
fournit,VERB,fournir
de,ADP,de
l',DET,le
encre,NOUN,encre
excellente,ADJ,excellent
.,PUNCT,.
Pour,ADP,pour
les,DET,le
notes,NOUN,note
particulières,ADJ,particulier
",",PUNCT,","
et,CCONJ,et
qui,PRON,qui
ont,VERB,avoir
besoin,NOUN,besoin
d',ADP,de
attirer,VERB,attirer
les,DET,le
yeux,NOUN,oeil
",",PUNCT,","
je,PRON,je
me,PRON,me
pique,VERB,pique
les,DET,le
doigts,NOUN,doigt
et,CCONJ,et
j',PRON,je
écris,VERB,écrire
avec,ADP,avec
mon,DET,mon
sang,NOUN,sang
.,PUNCT,.
 ,SPACE, 
--Et,NOUN,--et
quand,SCONJ,quand
pourrai,PROPN,pouvoir
-je,PRON,je
voir,VERB,voir
tout,ADV,tout
cela,PRON,celer
?,PUNCT,?
demanda,NOUN,demanda
Dantès,NOUN,dantè
.,PUNCT,.
 ,SPACE, 
--Quand,ADJ,--quand
vous,PRON,vous
voudrez,VERB,vouloir
",",PUNCT,","
répondit,NOUN,répondit
Faria,ADJ,faria
.,PUNCT,.
 ,SPACE, 
--Oh,NOUN,--oh
!,PUNCT,!
tout,ADV,tout
de,ADP,de
suite,NOUN,suite
!,PUNCT,!
s',PRON,se
écria,VERB,écrier
le,DET,le
jeune,ADJ,jeune
homme,NOUN,homme
.,PUNCT,.
 ,SPACE, 
--Suivez,PRON,--suivez
-moi,PRON,moi
donc,ADV,donc
»,PUNCT,»
",",PUNCT,","
dit,VERB,dire
l',DET,le
abbé,NOUN,abbé
.,PUNCT,.
 ,SPACE, 
Et,CCONJ,et
il,PRON,il
rentra,VERB,rentrer
dans,ADP,dans
le,DET,le
corridor,NOUN,corridor
souterrain,ADJ,souterrain
où,PRON,où
il,PRON,il
disparut,ADJ,disparut
.,PUNCT,.
Dantès,NOUN,dantè
le,DET,le
suivit,NOUN,suivit
.,PUNCT,.
  ,SPACE,  
